headword,transliteration,meaning_en,part_of_speech
अ,a,the first letter of the alphabet,m.
अ,a,pragfhya q.v.),
अ,a,"before a vowel an, exc",
अ,a,the base of some pronouns and pronom,
अ,a,the augment prefixed to the root in the formation of the imperfect,
अ,a,N. of Vishn2uvizRu L. (especially as the first of the three sounds in the sacred syllable om).,m.
अऋणिन्,aṛṇin,free from debt L.,mfn.
अंश्,aṃś,"to divide, distribute L.",
अंश,aṃśa,probably fr,m.
अंशु,aṃśu,a filament (especially of the Somasoma plant,m.
अंस्,aṃs,cf. aMS) L.,m.
अंह्,aṃh,"cf. aNG) cl.1 A1. aMhate, to go, set out, commence L.",m.
अंह्,aṃh,"to press together, to strangle (conjecturable from Gk. ἄχος, ἐγγύς",f.
अक्,ak,to move tortuously (like a snake) L.,
अक,aka,the suffix aka (akac).,
अक,aka,unhappiness,n.
अकच,akaca,hairless,mfn.
अकटुक,akaṭuka,not acrid,mfn.
अकठोर,akaṭhora,not hard,mfn.
अकडम,akaḍama,a kind of Ta1ntrikTantrik diagram.,n.
अकणक,akaṇaka,rice) without red particles adhering to the husks,mfn.
अकण्टक,akaṇṭaka,thornless,mfn.
अकण्ठ,akaṇṭha,having no neck,mfn.
अकत्थन,akatthana,unboastful.,mfn.
अकथह,akathaha,a kind of diagram.,n.
अकथ्य,akathya,unspeakable,mfn.
अकनिष्ठ,akaniṣṭha,pl. of whom none is the youngest (i.e. younger than the others) RV.,m.
अकन्या,akanyā,not a virgin Mn.,f.
अकपीवत्,akapīvat,N. of a R2ishifzi.,m.
अकबर,akabara,emperor) Akbar,m.
अकब्बर,akabbara,emperor) Akbar,m.
अकम्पन,akampana,N. of a prince,m.
अकम्पित,akampita,unshaken,mfn.
अकर,akara,handless,mfn.
अकरण,akaraṇa,absence of action.,n.
अकरिष्यत्,akariṣyat,not intending to do,mfn.
अकरुण,akaruṇa,merciless,mfn.
अकर्कश,akarkaśa,not hard,mfn.
अकर्ण,akarṇa,mf(A)n. having diminutive ears TS.,mf
अकर्णधार,akarṇadhāra,without a helmsman,mfn.
अकर्तन,akartana,a dwarf L.,m.
अकर्तृ,akartṛ,"not an agent, N",m.
अकर्मन्,akarman,not working,mfn.
अकल,akala,not in parts,mfn.
अकलङ्क,akalaṅka,without stains or spots,mfn.
अकलि,akali,not quarrelling S3is3.,mfn.
अकलित,akalita,incalculable,mfn.
अकल्क,akalka,free from impurity,mfn.
अकल्कन,akalkana,"or a-kalkala mfn. not deceitful, honourable, (T.",mfn.
अकल्कल,akalkala,"or a-kalkana mfn. not deceitful, honourable, (T.",mfn.
अकल्प,akalpa,mf(A)n,mf
अकल्मष,akalmaṣa,mf(A)n,mf
अकल्माष,akalmāṣa,mf(I)n,mf
अकल्माष,akalmāṣa,N. of a son of the fourth Manumanu Hariv.,m.
अकल्य,akalya,mf(A)n,mf
अकव,akava,fr. 1. ku q.v.),mfn.
अकवच,akavaca,having no coat of mail AV,mfn.
अकवर,akavara,emperor) Akbar,m.
अकवि,akavi,unwise RV,mfn.
अकस्मात्,akasmāt,without a why or a wherefore,ind.
अकस्यविद्,akasyavid,not attending to anything,mfn.
अकाण,akāṇa,mf(A)n,mf
अकाण्ड,akāṇḍa,without a trunk T.,mfn.
अकातर,akātara,not dejected.,mfn.
अकाम,akāma,mf(A)n,mf
अकाय,akāya,bodiless,mfn.
अकायिका,akāyikā,a kind of game,f.
अकारण,akāraṇa,causeless,mfn.
अकार्णवेष्टकिक,akārṇaveṣṭakika,mf(I)n,mf
अकार्य,akārya,not to be done,mfn.
अकार्ष्ण्य,akārṣṇya,absence of blackness.,n.
अकाल,akāla,a wrong or bad time,m.
अकावङ्क,akāvaṅka,water (= aNkANk/a),n.
अकासार,akāsāra,N. of a teacher BhP.,m.
अकिञ्चन,akiñcana,without anything,mfn.
अकितव,akitava,no gambler VS.,m.
अकिलिन,akilina,for a-klinna) not moist or wet,mfn.
अकिल्विष,akilviṣa,sinless S3Br.,mfn.
अकीर्ति,akīrti,ill-fame,f.
अकुण्ठ,akuṇṭha,not blunted,mfn.
अकुण्डल,akuṇḍala,without ear-rings,mfn.
अकुतस्,akutas,usually in comp.),ind.
अकुतूहल,akutūhala,not taking interest in (loc.),mfn.
अकुत्सयत्,akutsayat,"not abusing or reproaching, Mn",mfn.
अकुत्सित,akutsita,unreproached.,mfn.
